customer_id,monthly_income,annual_income,monthly_expense,annual_expense,total_assets,total_debt,loan_balance,monthly_loan_payment,credit_score,past_overdue_count,target
C060001,6243597,74923164,3754118,45049416,739310195,130937834,126194103,961556,692,1,0
C060002,3560231,42722772,2072497,24869964,25684789,28820378,19102938,71205,818,0,0
C060003,4113304,49359648,2965159,35581908,87248234,67911875,63232576,701763,789,0,0
C060004,7304341,87652092,3597362,43168344,298208347,113792502,113792502,351248,737,0,0
C060005,5762916,69154992,4147892,49774704,376426577,115517591,59319172,542529,681,0,0
C060006,3453718,41444616,1961818,23541816,78219999,26619229,21432530,82518,801,1,0
C060007,4228351,50740212,2516451,30197412,64692548,80302939,79791007,646049,718,0,0
C060008,7759806,93117672,3804695,45656340,616539190,211842523,152440978,995461,688,0,0
C060009,1800000,21600000,1149808,13797696,36009029,22011833,22011833,212746,837,0,0
C060010,6850601,82207212,5012470,60149640,306845268,87840218,78832617,728496,744,1,0
C060011,3874664,46495968,1306566,15678792,570465297,43227999,28037108,180097,853,0,0
C060012,5130425,61565100,3623386,43480632,366651166,52771199,52771199,722073,691,0,0
C060013,2370288,28443456,1162188,13946256,398208384,34390430,26360157,358957,829,0,0
C060014,2781578,33378936,975288,11703456,86933026,68213595,52068230,240908,764,0,0
C060015,3171100,38053200,1995701,23948412,69694221,41714616,28598174,289088,850,0,0
C060016,5659832,67917984,3369199,40430388,56586875,54415499,32102270,113197,840,0,0
C060017,6603211,79238532,4042900,48514800,211880499,123796848,83833814,665598,758,0,0
C060018,5058794,60705528,3328107,39937284,166013486,61849748,41316552,690098,831,0,0
C060019,4689580,56274960,3322217,39866604,271749501,100950556,85384419,999707,664,2,0
C060020,5871302,70455624,4251461,51017532,211874896,148161883,112719638,894557,744,0,0
C060021,2427478,29129736,1740437,20885244,351696919,67865953,60384237,417507,696,1,0
C060022,6734097,80809164,3964057,47568684,653980176,93638764,65323447,969211,810,0,0
C060023,4304105,51649260,3019258,36231096,99788341,32605611,23491035,366870,768,0,0
C060024,3116572,37398864,1997564,23970768,37127176,88591098,74196761,451458,676,0,0
C060025,2500754,30009048,1297808,15573696,277810641,20819386,13996387,67599,860,0,0
C060026,5823905,69886860,3004910,36058920,629302490,50197428,37009477,648969,768,0,0
C060027,6048119,72577428,2547402,30568824,200176500,91270724,45227252,386762,727,0,1
C060028,4373510,52482120,2489061,29868732,153870764,47763451,47763451,724168,765,0,0
C060029,3572607,42871284,1549069,18588828,39860507,32405001,17810108,433986,686,0,0
C060030,6100586,73207032,2001093,24013116,312543239,50076980,40352903,745253,770,0,0
C060031,4067774,48813288,2679241,32150892,59768338,74786396,60306014,649005,714,0,0
C060032,4262067,51144804,1996425,23957100,119919097,63831964,51857264,211883,821,0,0
C060033,4617085,55405020,3588401,43060812,193923128,63266460,45458872,131527,812,0,0
C060034,3167730,38012760,2833653,34003836,532178640,127360577,114497285,842941,666,0,0
C060035,5817939,69815268,3186379,38236548,231930275,18548056,18548056,116359,763,0,0
C060036,4915891,58990692,2190602,26287224,369101366,29131449,26029749,555289,750,0,0
C060037,3877818,46533816,2750846,33010152,236423439,17812097,14691575,77556,814,0,0
C060038,2808159,33697908,1709081,20508972,26636829,25546089,18303281,56163,784,1,0
C060039,4133315,49599780,2637047,31644564,163430977,71741537,39536895,155822,803,0,0
